Total, Detected, Lin. vel., Ang.vel., Roll, Pitch, Fire dist., Drone offset x, Drone offset y, Conversion, Process time
242, 77, 0, -1, 0.10896634875105668, -0.047554583986078154, 77.02759245880661, 52.0, 20.5, 0.46783714616385397,010.21
244, 79, 0, -1, 0.11006303430547694, -0.07001882041773491, 75.72854481633725, 52.5, 28.75, 0.4685212856658182,016.17
246, 81, 0, -1, 0.11111902118509825, -0.08083552888903982, 76.03453162872775, 53.0, 32.5, 0.454336899611537,09.07
249, 83, 0.1, 0, 0, 0, 719.0945695803856, -480.0, -360.0, 0.4685212856658182,016.89
252, 86, 0, -1, 0.11987030799111113, -0.12510596368639257, 75.89672259063629, 57.25, 48.5, 0.454336899611537,018.04
253, 87, 0, -1, 0.12255996838399585, -0.1123251654506648, 75.84729724914395, 58.5, 43.75, 0.48286708498473785,015.45
256, 90, 0, -1, 0.12627312038976626, -0.09626158162521295, 76.29916447773199, 60.25, 38.0, 0.454336899611537,013.16
259, 92, 0, -1, 0.125202942647885, -0.09750181387016338, 75.84729724914395, 59.75, 38.5, 0.45454545454545453,010.35
262, 95, 0, -1, 0.12418881016241216, -0.10453542463705151, 76.50204245639459, 59.25, 41.0, 0.5,08.86
264, 97, 0, -1, 0.12270902696308345, -0.11271283230626045, 75.59927248327196, 58.5, 44.0, 0.45371295301417763,010.79
267, 100, 0, -1, 0.12060790144009229, -0.10401346086648294, 75.62283054739488, 57.5, 40.75, 0.45371295301417763,015.79
270, 103, 0, -1, 0.1210884217068027, -0.11959314838091584, 75.84729724914395, 57.75, 46.5, 0.454336899611537,012.1
273, 104, 0, -1, 0.11957605243649339, -0.1205447044505877, 75.78629493516621, 57.0, 46.75, 0.45371295301417763,016.38
276, 107, 0, -1, 0.12369835447351853, -0.13146811972570302, 74.92037439842382, 59.0, 50.75, 0.4404151646360276,016.28
278, 108, 0.1, 0, 0, 0, 732.3783175381423, -480.0, -360.0, 0.4685212856658182,018.05
280, 110, 0, -1, 0.1299506156605856, -0.13366972982691086, 76.15937237136346, 62.0, 51.5, 0.46783714616385397,015.96
283, 113, 0, -1, 0.12692383746277533, -0.13039610787569558, 76.47426037563227, 60.5, 50.25, 0.4404151646360276,010.11
286, 116, 0, -1, 0.12381051303678312, -0.13021826586611146, 75.55502961418253, 59.0, 50.25, 0.46783714616385397,08.3
289, 119, 0, -1, 0.12073160887974425, -0.12619146575862922, 75.62283054739488, 57.5, 48.75, 0.45371295301417763,014.29
292, 122, 0, -1, 0.11961594767031943, -0.12745821492314122, 75.07704376172519, 57.0, 49.25, 0.454336899611537,010.56
294, 124, 0, -1, 0.11655926163561285, -0.12422250997453953, 76.36916917185887, 55.5, 48.0, 0.46875,021.86
297, 127, 0, -1, 0.11494484040563159, -0.10827220002654585, 76.1979330428326, 54.75, 42.25, 0.4685212856658182,012.2
300, 129, 0, -1, 0.12167778530937232, -0.11294825468441326, 76.32168761236873, 58.0, 44.0, 0.46783714616385397,023.59
303, 132, 0, -1, 0.1326381722944963, -0.12885289766033922, 75.75701287669676, 63.25, 49.75, 0.4685212856658182,010.63
306, 135, 0, -1, 0.13269474197667355, -0.11113068115173805, 76.25368843537997, 63.25, 43.25, 0.454336899611537,021.54
308, 136, 0, -1, 0.1311968674514442, -0.10209665825562034, 76.59144860883622, 62.5, 40.0, 0.46875,019.31
311, 139, 0, -1, 0.12858693183994316, -0.09374919861487546, 76.50204245639459, 61.25, 37.0, 0.454336899611537,015.05
314, 142, 0, -1, 0.12807989820746402, -0.07364879497115634, 75.67405433832656, 61.0, 29.75, 0.4411764705882353,015.44
317, 143, 0, -1, 0.12757685550769562, -0.06322127045248364, 75.69717630136543, 60.75, 26.0, 0.48361941016437077,011.81
320, 145, 0, -1, 0.1301580227725138, -0.06859766514674775, 76.32168761236873, 62.0, 28.0, 0.4411764705882353,017.02
322, 147, 0, -1, 0.13022804910143418, -0.06937951500751963, 76.1712708309373, 62.0, 28.25, 0.454336899611537,07.81
324, 149, 0, -1, 0.1281488297572652, -0.07012740758105211, 75.92265801458745, 61.0, 28.5, 0.4411764705882353,016.58
327, 151, 0, -1, 0.13072228396766805, -0.07700336102000047, 76.50204245639459, 62.25, 31.0, 0.49972245348957717,017.67
330, 153, 0, -1, 0.12768596407092186, -0.07433500705137347, 76.6880857760839, 60.75, 30.0, 0.454336899611537,015.45
332, 155, 0, -1, 0.1251097399537338, -0.0615794399648953, 76.47426037563227, 59.5, 25.25, 0.454336899611537,09.19
336, 157, 0, -1, 0.12299724563103695, -0.0411717405823531, 77.27386362800814, 58.5, 18.0, 0.46783714616385397,011.97
339, 160, 0, -1, 0.12195500755877377, -0.03951376648759884, 76.15937237136346, 58.0, 17.5, 0.4411764705882353,014.84
341, 162, 0, -1, 0.12454885269462483, -0.04238455000442248, 76.99878245790644, 59.25, 18.5, 0.45371295301417763,025.91
344, 165, 0, -1, 0.12611768680133087, -0.05187467804849299, 76.6550715869472, 60.0, 22.0, 0.49972245348957717,015.36
